"기간","과일","신선수산물","냉동수산물","어육","김","라면","나프타","휘발유","제트유","등유","경유","벙커C유","정제혼합용원료유","윤활유","아스팔트"
"1981.05",0,15.4,46.28,0,0,0,0,0,0,0,0,0,0,0,0
"1981.06",0,15.4,46.28,0,0,0,0,0,0,0,0,0,0,0,0
"1981.07",0,15.4,46.28,0,0,0,0,0,0,0,0,0,0,0,0
"1981.08",0,15.4,46.28,0,0,0,0,0,0,0,0,0,0,0,0
"1981.09",0,17.13,46.5,0,0,0,0,0,0,0,0,0,0,0,0
"1981.10",0,20.75,46.5,0,0,0,0,0,0,0,0,0,0,0,0
"1981.11",0,21.9,46.91,0,0,0,0,0,0,0,0,0,0,0,0
"1981.12",0,17.26,46.91,0,0,0,0,0,0,0,0,0,0,0,0
"1982.01",0,17.26,46.91,0,0,0,0,0,0,0,0,0,0,0,0
"1982.02",0,15.26,46.96,0,0,0,0,0,0,0,0,0,0,0,0
"1982.03",0,15.26,46.96,0,0,0,0,0,0,0,0,0,0,0,0
"1982.04",0,13.65,46.96,0,0,0,0,0,0,0,0,0,0,0,0
"1982.05",0,13.65,45.65,0,0,0,0,0,0,0,0,0,0,0,0
"1982.06",0,13.65,45.65,0,0,0,0,0,0,0,0,0,0,0,0
"1982.07",0,13.65,45.65,0,0,0,0,0,0,0,0,0,0,0,0
"1982.08",0,13.65,45.65,0,0,0,0,0,0,0,0,0,0,0,0
"1982.09",0,13.65,45.94,0,0,0,0,0,0,0,0,0,0,0,0
"1982.10",0,13.65,45.94,0,0,0,0,0,0,0,0,0,0,0,0
"1982.11",0,13.65,39.52,0,0,0,0,0,0,0,0,0,0,0,0
"1982.12",0,13.65,39.52,0,0,0,0,0,0,0,0,0,0,0,0
"1983.01",0,13.65,39.52,0,0,0,0,0,0,0,0,0,0,0,0
"1983.02",0,13.65,37.02,0,0,0,0,0,0,0,0,0,0,0,0
"1983.03",0,13.65,37.02,0,0,0,0,0,0,0,0,0,0,0,0
"1983.04",0,13.65,37.02,0,0,0,0,0,0,0,0,0,0,0,0
"1983.05",0,13.65,37.02,0,0,0,0,0,0,0,0,0,0,0,0
"1983.06",0,13.65,36.77,0,0,0,0,0,0,0,0,0,0,0,0
"1983.07",0,13.65,36.77,0,0,0,0,0,0,0,0,0,0,0,0
"1983.08",0,13.65,36.77,0,0,0,0,0,0,0,0,0,0,0,0
"1983.09",0,13.65,36.77,0,0,0,0,0,0,0,0,0,0,0,0
"1983.10",0,13.65,36.58,0,0,0,0,0,0,0,0,0,0,0,0
"1983.11",0,14.34,36.58,0,0,0,0,0,0,0,0,0,0,0,0
"1983.12",0,14.18,36.73,0,0,0,0,0,0,0,0,0,0,0,0
"1984.01",0,14.18,36.02,0,0,0,0,0,0,0,0,0,0,0,0
"1984.02",0,18.64,37.29,0,0,0,0,0,0,0,0,0,0,0,0
"1984.03",0,18.88,37.77,0,0,0,0,0,0,0,0,0,0,0,0
"1984.04",0,20.19,38.36,0,0,0,0,0,0,0,0,0,0,0,0
"1984.05",0,21.27,38.36,0,0,0,0,0,0,0,0,0,0,0,0
"1984.06",0,22.16,39.05,0,0,0,0,0,0,0,0,0,0,0,0
"1984.07",0,19.84,39.69,0,0,0,0,0,0,0,0,0,0,0,0
"1984.08",0,19.17,40.09,0,0,0,0,0,0,0,0,0,0,0,0
"1984.09",0,23.96,40.09,0,0,0,0,0,0,0,0,0,0,0,0
"1984.10",0,31.21,40.53,0,0,0,0,0,0,0,0,0,0,0,0
"1984.11",0,29.04,40.53,0,0,0,0,0,0,0,0,0,0,0,0
"1984.12",0,25.18,40.53,0,0,0,0,0,0,0,0,0,0,0,0
"1985.01",0,23.8,40.56,110.65,0,47.88,29.19,0,0,0,48.84,45.13,0,0,0
"1985.02",0,23.8,40.16,113.24,0,47.88,29,0,0,0,42.27,44.89,0,0,0
"1985.03",0,21.83,39.38,109.79,0,47.88,27.63,0,0,0,42.68,45.05,0,0,0
"1985.04",0,22.27,39.38,111.09,0,47.88,28.26,0,0,0,41.84,43.62,0,0,0
"1985.05",0,21.45,39.51,113.68,0,47.88,31.7,0,0,0,41.84,42.19,0,0,0
"1985.06",0,21.16,39.51,105.91,0,47.88,30.13,0,0,0,42.56,40.91,0,0,0
"1985.07",0,20.82,39.51,105.48,0,47.88,30.57,0,0,0,40.09,39.91,0,0,0
"1985.08",0,20.82,39.91,102.91,0,47.88,30.26,0,0,0,41.29,40.83,0,0,0
"1985.09",0,19.95,40.04,103.34,0,47.88,31.92,0,0,0,39.66,42.19,0,0,0
"1985.10",0,19.51,40.01,109.36,0,47.88,32.76,0,0,0,39.91,42.01,0,0,0
"1985.11",0,19.88,39.15,104.31,0,47.88,30.57,0,0,0,40.5,40.15,0,0,0
"1985.12",0,19.88,37.59,102.16,0,47.88,31.07,0,0,0,41.17,40.02,0,0,0
"1986.01",0,20.64,38.56,103.02,0,47.88,30.67,0,0,0,43.23,41.12,0,0,0
"1986.02",0,17.71,40.8,103.44,0,47.41,28.26,0,0,0,42.68,41.04,0,0,0
"1986.03",0,17.26,41.88,108.07,0,45.2,24.3,0,0,0,41.42,32.05,0,0,0
"1986.04",0,17.26,41.54,112.48,0,45.2,13.39,0,0,0,32.66,17.81,0,0,0
"1986.05",0,19.45,39.92,113.13,0,45.2,14.54,0,0,0,20.95,16.46,0,0,0
"1986.06",0,19.56,36.28,115.08,0,45.2,16.73,0,0,0,19.69,16.46,0,0,0
"1986.07",0,19.56,37.16,119.79,0,45.2,18,0,0,0,20.1,16,0,0,0
"1986.08",0,20.38,38.95,120.13,0,45.2,16.22,0,0,0,14.91,13.23,0,0,0
"1986.09",0,20.38,39.54,121.76,0,45.2,15.41,0,0,0,13.94,17.4,0,0,0
"1986.10",0,26.78,38.42,135.41,0,45.2,15.7,0,0,0,18.6,17.05,0,0,0
"1986.11",0,28.87,41.14,134.13,0,45.2,18.85,0,0,0,15.46,16.3,0,0,0
"1986.12",0,30.82,43.25,126.7,0,45.2,16.22,0,0,0,17.71,16.3,0,0,0
"1987.01",0,27.05,42.82,133.37,0,45.68,16,0,0,0,20.52,23.05,0,0,0
"1987.02",0,29.87,42.29,133.71,0,45.68,21.96,0,0,0,25.43,23.05,0,0,0
"1987.03",0,29.28,42.24,138.63,0,45.68,21.96,0,0,0,25.43,23.05,0,0,0
"1987.04",0,29.13,44.22,144.24,0,45.68,21.96,0,0,0,25.43,23.05,0,0,0
"1987.05",0,33.37,47.03,145.84,0,45.68,21.96,0,0,0,25.43,23.05,0,0,0
"1987.06",0,36.69,45.52,145.2,0,45.68,21.96,0,0,0,25.43,23.05,0,0,0
"1987.07",0,34.48,49.01,145.2,0,45.68,21.96,0,0,0,25.43,23.05,0,0,0
"1987.08",0,35.45,50.54,145.2,0,45.68,21.96,0,0,0,25.43,23.05,0,0,0
"1987.09",0,27.81,50.54,154.68,0,47.12,23.3,0,0,0,27.36,23.05,0,0,0
"1987.10",0,27.81,53.41,154.68,0,47.12,29.42,0,0,0,28.73,27.22,0,0,0
"1987.11",0,34.64,56.1,158.24,0,47.12,26.17,0,0,0,28.73,26.3,0,0,0
"1987.12",0,34.64,56.1,153.38,0,48.32,22.55,0,0,0,28.73,26.3,0,0,0
"1988.01",0,34.64,54.89,144.78,0,49.31,22.55,0,0,0,28.73,26.3,0,0,0
"1988.02",0,34.64,53.57,146.18,0,49.31,19.84,0,0,0,30.15,24.32,0,0,0
"1988.03",0,38.12,55.9,145.32,0,48.17,19.84,0,0,0,25.3,20.98,0,0,0
"1988.04",0,38.69,58.77,143.38,0,48.17,20.38,0,0,0,30.95,20.98,0,0,0
"1988.05",0,38.22,58.75,143.38,0,48.17,19.49,0,0,0,29.15,20.98,0,0,0
"1988.06",0,35.85,57.13,145.75,0,50.7,19.46,0,0,0,29.4,21.41,0,0,0
"1988.07",0,36.5,54.16,145.75,0,51.19,19.12,0,0,0,28.97,21.41,0,0,0
"1988.08",0,36.22,57.7,145.75,0,51.66,19.18,0,0,0,27.6,20.52,0,0,0
"1988.09",0,41.14,53.48,145.75,0,51.66,18.69,0,0,0,24.58,20.52,0,0,0
"1988.10",0,44.36,50.05,135.11,0,51.66,19.21,0,0,0,27.22,18.24,0,0,0
"1988.11",0,52.77,52.22,135.11,0,52.53,17.57,0,0,0,24.3,17.78,0,0,0
"1988.12",0,54.22,58.02,135.11,0,52.53,15.82,0,0,0,21.83,18.24,0,0,0
"1989.01",0,56.62,61.59,141.87,0,54.98,15.82,0,0,0,21.99,18.24,0,0,0
