"기간","농림수산품","농림수산품","농산물","채소및과실","과실","수산물","신선수산물","신선어류","냉동건조수산물","냉동수산물"
"1993.09",70.44,70.44,89.07,81.02,78.89,70.82,72.5,72.5,84.16,84.16
"1993.10",72.94,72.94,99.89,94.27,104.25,71.61,73.26,73.26,85.12,85.12
"1993.11",73,73,103.23,98.37,112.08,70.94,71.4,71.4,84.66,84.66
"1993.12",75.83,75.83,103.8,99.07,113.42,74.47,71.4,71.4,89.89,89.89
"1994.01",72.23,72.23,103.8,99.07,113.42,69.82,71.4,71.4,82.99,82.99
"1994.02",74.51,74.51,103.8,99.07,113.42,72.77,71.4,71.4,87.37,87.37
"1994.03",78.33,78.33,101.09,95.74,113.42,78.3,77.04,77.04,93.96,93.96
"1994.04",82.67,82.67,101.09,95.74,113.42,83.89,77.04,77.04,102.26,102.26
"1994.05",82.67,82.67,101.09,95.74,113.42,83.89,77.04,77.04,102.26,102.26
"1994.06",79.11,79.11,101.09,95.74,113.42,79.31,75.05,75.05,96.03,96.03
"1994.07",82.35,82.35,101.09,95.74,113.42,83.48,73.05,73.05,102.81,102.81
"1994.08",84.95,84.95,101.09,95.74,113.42,86.83,75.25,75.25,107.15,107.15
"1994.09",84.97,84.97,113.24,110.64,113.42,84.14,76.15,76.15,102.89,102.89
"1994.10",90.33,90.33,122.46,121.94,113.96,88.97,81.03,81.03,108.65,108.65
"1994.11",89.84,89.84,122.46,121.94,113.96,88.34,82.81,82.81,107.19,107.19
"1994.12",89.65,89.65,122.46,121.94,113.96,88.1,83.84,83.84,106.53,106.53
"1995.01",97.98,97.98,108.19,106.84,91.22,102.85,166.82,166.82,103.35,103.35
"1995.02",96.01,96.01,106.44,103.66,86.06,100.64,165.6,165.6,99.84,99.84
"1995.03",101.86,101.86,118.24,118.14,109.54,104.86,181.05,181.05,101.67,101.67
"1995.04",100.75,100.75,121.88,118.14,109.54,101.95,187.74,187.74,93.3,93.3
"1995.05",97.46,97.46,122.48,118.14,109.54,96.99,188.09,188.09,85.65,85.65
"1995.06",95.47,95.47,122.44,118.14,109.54,94.13,194.31,194.31,81.11,81.11
"1995.07",100.76,100.76,121.92,118.14,109.54,101.96,203.51,203.51,91.79,91.79
"1995.08",99.79,99.79,119.36,118.14,109.54,101.48,200.94,200.94,93.06,93.06
"1995.09",92.76,92.76,103.46,99.17,109.54,97.01,208.26,208.26,85.97,85.97
"1995.10",101.03,101.03,106.92,105.24,105.54,107.72,221.42,221.42,100.4,100.4
"1995.11",93.48,93.48,106.48,105.24,105.54,96.96,216.78,216.78,84.46,84.46
"1995.12",93.33,93.33,108.07,107.45,109.12,96.18,210.53,210.53,84.61,84.61
"1996.01",91.4,91.4,106.87,107.45,109.12,93.82,193.75,193.75,84.46,84.46
"1996.02",91.49,91.49,106.27,107.45,109.12,94.16,190.49,190.49,85.97,85.97
"1996.03",96.38,96.38,106.55,107.45,109.12,101.13,190.97,190.97,97.13,97.13
"1996.04",95.94,95.94,105.83,107.45,109.12,100.76,190.37,190.37,96.01,96.01
"1996.05",95.69,95.69,106.31,107.45,109.12,100.22,190.31,190.31,96.01,96.01
"1996.06",93.79,93.79,105.55,107.45,109.12,97.74,190.31,190.31,95.45,95.45
