"±â°£","½Ò","¹Ð","¿Á¼ö¼ö","Äá","°úÀÏ","¼è°í±â","µÅÁö°í±â","´ß°í±â","½Å¼±¼ö»ê¹°","³Ãµ¿¼ö»ê¹°","¿øÀ¯","Ä¡Áî","¾îÀ°"
"1991.01",0,45.5,60.51,55.53,50,82.02,0,0,0,53.89,51.15,0,19.99
"1991.02",0,46.68,61.73,56.22,50,84.45,0,0,0,53.89,41.93,0,22.13
"1991.03",0,48.5,60.09,56.22,54.19,84.54,0,0,0,53.89,32.84,0,24.79
"1991.04",0,49.84,61.48,56.22,61.96,85.84,0,0,0,53.89,33.8,0,24.79
"1991.05",0,50.64,60.81,54.53,65,83.49,0,0,0,53.89,33.01,0,24.02
"1991.06",0,50.69,60.81,54.3,62.75,89.06,0,0,0,53.89,32.63,0,24.02
"1991.07",0,48.34,63.01,51.81,42.85,79.66,0,0,0,53.89,33.3,0,30.18
"1991.08",0,48.34,60.57,51.06,39.09,79.66,0,0,0,53.89,34.52,0,33.79
"1991.09",0,53.91,60.57,51.06,39.15,79.84,0,0,0,53.89,35.35,0,36.88
"1991.10",0,58.04,63.01,51.06,35.35,84.8,0,0,0,53.89,36.51,0,39.61
"1991.11",0,60.44,63.01,51.06,39.09,89.06,0,0,0,53.89,38.89,0,39.61
"1991.12",0,64.14,63.01,51.06,36.55,85.49,0,0,0,53.89,39.06,0,39.61
"1992.01",0,65.9,63.01,53.72,45.3,82.02,0,0,0,53.89,34.35,0,47.11
"1992.02",0,68.73,63.8,53.72,46.75,83.24,0,0,0,53.89,33.43,0,58.01
"1992.03",0,65.36,63.2,54.53,46.85,83.76,0,0,0,53.89,32.38,0,55.19
"1992.04",0,64.14,60.32,53.95,51.81,81.23,0,0,0,53.89,32.38,0,55.19
"1992.05",0,62.37,60.99,54.83,49.45,78.45,0,0,0,53.89,33.3,0,55.19
"1992.06",0,61.03,60.57,55.41,45.4,78.45,0,0,0,53.89,35.66,0,55.19
"1992.07",0,58.45,56.14,53.14,40.51,77.32,0,0,0,53.89,38.31,0,55.19
"1992.08",0,55.51,54.24,52.91,40.65,77.06,0,0,0,53.89,37.94,0,41.74
"1992.09",0,61.24,52.6,53.14,39.45,80.27,0,0,0,53.89,36.71,0,41.74
"1992.10",0,61.82,52.17,52.85,39.45,80.27,0,0,0,53.89,37.17,0,42.31
"1992.11",0,61.99,54.98,55.53,36.2,81.49,0,0,0,53.89,36.75,0,42.31
"1992.12",0,61.18,56.37,56.22,36.2,81.49,0,0,0,53.89,34.86,0,42.31
"1993.01",0,63.07,55.88,57.55,38.7,81.49,0,0,0,53.89,33.18,0,42.31
"1993.02",0,60.81,54.98,56.86,43.59,81.49,0,0,0,53.89,31.46,0,42.31
"1993.03",0,59.69,55.88,57.32,46.89,76.01,0,0,0,54.27,32.75,0,42.31
"1993.04",0,58.24,55.88,57.32,45.25,74.44,0,0,0,54.27,33.14,0,36.53
"1993.05",0,54.71,55.88,58.48,45.25,73.66,0,0,0,54.27,34.18,0,36.53
"1993.06",0,53.16,55.88,57.09,45.25,69.13,0,0,0,54.27,32.92,0,36.53
"1993.07",0,57.34,57.84,65.6,41.09,70.17,0,0,0,54.27,32,0,36.53
"1993.08",0,61.82,61.73,63.35,41.5,75.4,0,0,0,54.27,29.93,0,36.53
"1993.09",0,62.8,61.92,62.71,41.5,77.32,0,0,0,54.27,30.01,0,36.53
"1993.10",0,64.08,60.88,62.71,42.8,77.32,0,0,0,55.83,30.18,0,36.53
"1993.11",0,65.85,63.98,64.15,41.5,77.32,0,0,0,56.86,29.76,0,36.53
"1993.12",0,66.97,63.98,64.15,41.5,77.32,0,0,0,56.86,27.99,0,36.53
"1994.01",0,65.21,64.77,66.07,41.5,77.32,0,0,0,57.88,25.1,0,36.53
"1994.02",0,65.21,66.42,64.91,41.5,75.06,0,0,0,57.88,26.31,0,37.24
