지출목적별 12개 대분류,대표품목,가중치
06 보건,소염진통제,0.4
06 보건,피부질환제,0.2
06 보건,치과구강용약,0.3
06 보건,조제약,5.1
06 보건,한방약,3.1
06 보건,인삼,0.3
06 보건,홍삼,1.6
06 보건,비타민제,0.8
06 보건,건강기능식품,3.6
06 보건,병원약품,3
06 보건,종이기저귀,1.7
06 보건,생리대,0.8
06 보건,안경,1.4
06 보건,콘택트렌즈,1.1
06 보건,의료측정기,0.1
06 보건,보청기,0.3
06 보건,건강기기렌탈비,0.8
06 보건,치료재료,1.2
06 보건,외래진료비,16.3
06 보건,건강검진비,1.2
06 보건,한방진료비,1.2
06 보건,약국조제료,1.7
06 보건,치과진료비,5.5
06 보건,치과보철료,6.3
06 보건,입원진료비,8.7
06 보건,병원검사료,1.6
07 교통,소형승용차,2.5
07 교통,중형승용차,3.3
07 교통,대형승용차,6.5
07 교통,경승용차,1.2
07 교통,다목적승용차,10.2
07 교통,수입승용차,7.9
07 교통,자전거,0.3
07 교통,휘발유,23.4
07 교통,경유,13.8
07 교통,자동차용LPG,3.3
07 교통,자동차용품,1.1
07 교통,자동차타이어,0.6
07 교통,자동차수리비,5.7
07 교통,엔진오일교체료,0.6
07 교통,세차료,0.4
07 교통,자동차학원비,0.4
07 교통,주차료,0.7
07 교통,도로통행료,1.8
07 교통,승용차임차료,1.2
07 교통,대리운전이용료,0.5
07 교통,자동차검사료,0.3
07 교통,열차료,2.1
07 교통,도시철도료,3.4
07 교통,시내버스료,9.4
07 교통,시외버스료,1.2
07 교통,고속버스료,0.7
07 교통,택시료,3.5
07 교통,국내항공료,0.4
07 교통,국제항공료,2.9
07 교통,여객선료,0.2
07 교통,이삿짐운송료,1.9
07 교통,택배이용료,1.2
08 통신,우편료,0.1
08 통신,휴대전화기,9.9
08 통신,유선전화료,1.4
08 통신,휴대전화료,36.1
08 통신,인터넷이용료,5.6
08 통신,휴대전화기수리비,0.4
09 오락 및 문화,TV,2.1
09 오락 및 문화,영상음향기기,0.3
09 오락 및 문화,사진기,0.3
09 오락 및 문화,컴퓨터,2.4
09 오락 및 문화,컴퓨터수리비,0.2
09 오락 및 문화,휴대용멀티미디어기기,0.3
09 오락 및 문화,프린터,0.1
09 오락 및 문화,컴퓨터소모품,0.4
09 오락 및 문화,저장장치,0.2
09 오락 및 문화,피아노,0.2
09 오락 및 문화,현악기,0.2
09 오락 및 문화,헬스기구,0.3
09 오락 및 문화,장난감,2.9
09 오락 및 문화,레저용품,1
09 오락 및 문화,운동용품,1.2
09 오락 및 문화,생화,0.4
09 오락 및 문화,원예용품,0.1
09 오락 및 문화,애완동물용품,1.9
09 오락 및 문화,애완동물관리비,1.2
09 오락 및 문화,수영장이용료,0.2
09 오락 및 문화,스키장이용료,0.3
09 오락 및 문화,볼링장이용료,0.2
09 오락 및 문화,헬스클럽이용료,1
09 오락 및 문화,골프연습장이용료,1.3
09 오락 및 문화,골프장이용료,1.7
09 오락 및 문화,당구장이용료,0.5
09 오락 및 문화,노래방이용료,0.5
09 오락 및 문화,PC방이용료,0.3
09 오락 및 문화,놀이시설이용료,1.4
09 오락 및 문화,레포츠이용료,0.4
09 오락 및 문화,운동경기관람료,0.2
09 오락 및 문화,영화관람료,2
09 오락 및 문화,공연예술관람료,0.3
09 오락 및 문화,전시관입장료,0.5
09 오락 및 문화,독서실비,0.5
09 오락 및 문화,문화강습료,1.3
09 오락 및 문화,온라인콘텐츠이용료,4.5
09 오락 및 문화,방송수신료,3.2
09 오락 및 문화,사진서비스료,1.6
09 오락 및 문화,유아용학습교재,0.8
09 오락 및 문화,초등학교학습서,0.6
09 오락 및 문화,중학교학습서,0.6
09 오락 및 문화,고등학교학습서,0.6
09 오락 및 문화,교과서,0.2
09 오락 및 문화,대학교재,0.3
09 오락 및 문화,서적,2.1
09 오락 및 문화,신문,0.6
09 오락 및 문화,공책,0.2
09 오락 및 문화,스케치북,0.1
09 오락 및 문화,복사용지,0.1
09 오락 및 문화,기타문구,0.2
09 오락 및 문화,필기구,0.4
09 오락 및 문화,회화용구,0.3
09 오락 및 문화,국내단체여행비,2.7
09 오락 및 문화,해외단체여행비,13.8
10 교육,유치원납입금,3.2
10 교육,고등학교납입금,4.9
10 교육,전문대학납입금,2.7
10 교육,국공립대학교납입금,2.1
10 교육,사립대학교납입금,13.1
10 교육,국공립대학원납입금,0.5
10 교육,사립대학원납입금,1.8
10 교육,초등학생학원비,7.7
10 교육,중학생학원비,15.9
10 교육,고등학생학원비,14
10 교육,음악학원비,3.9
10 교육,미술학원비,2
10 교육,운동학원비,5.7
10 교육,전산학원비,0.5
10 교육,가정학습지,5
10 교육,이러닝이용료,0.4
10 교육,학교보충교육비,2.6
10 교육,취업학원비,1.1
10 교육,외국어학원비,0.8
10 교육,운동강습료,1.7
11 음식 및 숙박,김치찌개백반,5
11 음식 및 숙박,된장찌개백반,4.5
11 음식 및 숙박,비빔밥,2.4
11 음식 및 숙박,설렁탕,2.2
11 음식 및 숙박,갈비탕,2.3
11 음식 및 숙박,삼계탕,2.3
11 음식 및 숙박,해물찜,2.8
11 음식 및 숙박,해장국,4.6
11 음식 및 숙박,불고기,1.6
11 음식 및 숙박,쇠고기(외식),5.5
11 음식 및 숙박,돼지갈비(외식),6.2
11 음식 및 숙박,삼겹살(외식),6.5
11 음식 및 숙박,오리고기(외식),1.4
11 음식 및 숙박,냉면,2.1
11 음식 및 숙박,칼국수,2.9
11 음식 및 숙박,죽(외식),0.6
11 음식 및 숙박,생선초밥,2.1
11 음식 및 숙박,생선회(외식),9
11 음식 및 숙박,자장면,1.6
11 음식 및 숙박,짬뽕,1.5
11 음식 및 숙박,탕수육,1.4
11 음식 및 숙박,볶음밥,0.8
11 음식 및 숙박,돈가스,2.9
11 음식 및 숙박,스테이크,2.1
11 음식 및 숙박,스파게티,1.6
11 음식 및 숙박,라면(외식),0.9
11 음식 및 숙박,김밥,3.5
11 음식 및 숙박,떡볶이,1.2
11 음식 및 숙박,치킨,5.2
11 음식 및 숙박,햄버거,2.9
11 음식 및 숙박,피자,3.5
11 음식 및 숙박,커피(외식),6.9
11 음식 및 숙박,국산차(외식),0.8
11 음식 및 숙박,소주(외식),3.3
11 음식 및 숙박,맥주(외식),6.5
11 음식 및 숙박,막걸리(외식),0.8
11 음식 및 숙박,학교급식비,2
11 음식 및 숙박,구내식당식사비,12.9
11 음식 및 숙박,도시락,0.3
11 음식 및 숙박,호텔숙박료,1.3
11 음식 및 숙박,여관숙박료,0.6
11 음식 및 숙박,콘도이용료,0.5
11 음식 및 숙박,학교기숙사비,1
11 음식 및 숙박,휴양시설이용료,1.8
12 기타 상품 및 서비스,목욕료,1.5
12 기타 상품 및 서비스,찜질방이용료,1.5
12 기타 상품 및 서비스,이용료,0.5
12 기타 상품 및 서비스,미용료,8.6
12 기타 상품 및 서비스,뷰티미용료,1.6
12 기타 상품 및 서비스,면도기,0.3
12 기타 상품 및 서비스,헤어드라이어,0.4
12 기타 상품 및 서비스,칫솔,0.4
12 기타 상품 및 서비스,치약,0.4
12 기타 상품 및 서비스,비누,0.2
12 기타 상품 및 서비스,샴푸,1
12 기타 상품 및 서비스,바디워시,0.4
12 기타 상품 및 서비스,화장지,1.3
12 기타 상품 및 서비스,기초화장품,5.4
12 기타 상품 및 서비스,기능성화장품,4.8
12 기타 상품 및 서비스,색조화장품,0.7
12 기타 상품 및 서비스,모발염색약,0.7
12 기타 상품 및 서비스,구강세정제,0.1
12 기타 상품 및 서비스,손목시계,0.6
12 기타 상품 및 서비스,장신구,0.9
12 기타 상품 및 서비스,가방,2.9
12 기타 상품 및 서비스,핸드백,1.1
12 기타 상품 및 서비스,우산,0.4
12 기타 상품 및 서비스,유모차,0.9
12 기타 상품 및 서비스,지갑,0.6
12 기타 상품 및 서비스,산후조리원이용료,0.9
12 기타 상품 및 서비스,보육시설이용료,1.7
12 기타 상품 및 서비스,요양시설이용료,0.9
12 기타 상품 및 서비스,보험서비스료,6.9
12 기타 상품 및 서비스,자동차보험료,3.1
12 기타 상품 및 서비스,금융수수료,0.1
12 기타 상품 및 서비스,부동산중개수수료,1.7
12 기타 상품 및 서비스,행정수수료,1
12 기타 상품 및 서비스,대입전형료,0.2
12 기타 상품 및 서비스,시험응시료,0.5
12 기타 상품 및 서비스,장례비,2.7
