"년","월","경상수지","국고채1년","M2","WTI","Dubai","Brent","금"
"2012",3,3580,3.47,1773172.9,103.02,120.17,123.81,1668.35
"2012",4,-144.8,3.45,1777114.7,104.87,116.05,119.67,1664.75
"2012",5,5015.8,3.37,1784220.5,86.53,101.8,102.08,1560.43
"2012",6,6069.3,3.29,1796981.5,84.96,92.75,97,1597.4
"2012",7,8375.5,3.02,1807289.2,88.06,102.44,105.94,1614.3
"2012",8,1618,2.84,1817134.9,96.47,110.47,115.46,1692.01
"2012",9,6484.3,2.85,1819290.1,92.19,110.84,113.25,1772.1
"2013",1,2752.4,2.72,1841128.1,97.49,110.46,116.54,1663.65
"2013",10,10724,2.66,1908557.6,96.38,106.92,108.89,1323.1
"2013",11,5891.6,2.705,1923339.2,92.72,108.85,110.57,1253.49
"2013",12,6263.7,2.685,1932026.4,98.42,107.89,110.82,1205.65
"2013",2,2212.5,2.68,1857135,92.05,107.23,111.66,1579.58
"2013",3,6740.2,2.6,1862405.5,97.23,106.83,109.27,1598.75
"2013",4,5039.9,2.58,1867726.3,93.46,101.61,101.81,1476.75
"2013",5,9608.2,2.59,1870289.7,91.97,98.57,100.03,1387.92
"2013",6,6824.8,2.66,1884193.2,96.56,100.2,102.16,1234.57
"2013",7,6964.6,2.66,1890728.6,105.03,103.83,108.66,1325.25
"2013",8,6389.3,2.66,1888658.4,107.65,112.39,116.17,1395.15
"2013",9,7847.7,2.67,1903187.1,102.33,105.09,109.22,1328.94
"2014",1,1837.7,2.657,1937045.6,97.49,104.34,107.2,1244.55
"2014",10,8604.5,2.134,2051149.8,80.54,83.24,84.8,1173.48
"2014",11,10582.7,2.047,2083253.5,66.15,67.92,68.99,1167.41
"2014",12,6805.4,2.072,2088729.8,53.27,53.85,55.76,1184.86
"2014",2,4812.5,2.64,1954340.7,102.59,105.27,109.3,1326.44
"2014",3,6182.8,2.659,1964954,101.58,104.63,106.98,1284.01
"2014",4,6875.5,2.653,1970361.6,99.74,104.86,108.65,1291.55
"2014",5,9148.3,2.641,1982390.9,102.71,106.41,110.66,1249.73
"2014",6,7768.8,2.602,1999376.3,105.37,109,112.09,1327.32
"2014",7,6198.8,2.488,2013935.1,98.17,103.81,103.9,1282.55
"2014",8,6793.9,2.389,2031777.2,95.96,101.05,101.26,1287.81
"2014",9,7418.7,2.277,2037600.8,91.16,95.51,93.17,1208.16
"2015",1,7076,1.995,2092223.5,48.24,45.69,50.77,1283.78
"2015",10,9561,1.546,2232432,46.59,45.61,47.62,1142.16
"2015",11,9727.7,1.631,2242848.2,41.65,39.67,42.82,1064.77
"2015",12,8042.5,1.635,2246070.1,37.04,32.13,35.75,1061.42
"2015",2,6136.4,1.981,2109892.3,49.76,58.07,61.81,1213.22
"2015",3,9761.5,1.838,2127887.8,47.6,52.6,53.34,1183.68
"2015",4,7221.6,1.703,2148114.7,59.63,63.38,64.86,1184.37
"2015",5,7958.8,1.746,2166741.1,60.3,61.37,63.89,1190.55
"2015",6,11546.2,1.63,2179561.1,59.47,60.91,61.36,1172.42
"2015",7,9367.2,1.597,2200510.9,47.12,53.13,50.57,1095.82
"2015",8,8119.4,1.582,2218660.3,49.2,48.22,51.28,1134.81
"2015",9,10600.3,1.553,2230000.7,45.09,44.04,47.13,1115.07
"2016",1,7317.4,1.587,2261356.4,33.62,29.5,33.2,1118.17
"2016",10,7476.8,1.369,2391059.2,46.86,45.83,46.69,1277.3
"2016",11,7873.3,1.511,2406393.5,49.44,45.67,49.86,1173.25
"2016",12,7361.5,1.576,2414040.9,53.72,53.99,55.41,1152.27
"2016",2,7927.5,1.469,2285313.5,33.75,29.81,35.94,1238.74
"2016",3,11122.8,1.507,2294544.7,38.34,34.86,38.72,1232.7
"2016",4,4184.3,1.493,2299081.3,45.92,44.17,46.36,1292.99
"2016",5,10491,1.48,2312801.2,49.1,46.16,48.31,1215.33
"2016",6,12409.7,1.361,2334256.2,48.33,46.83,48.42,1322.2
"2016",7,8831.8,1.26,2352245.1,41.6,38.68,41.01,1351
"2016",8,5410.1,1.265,2377323.1,44.7,44.83,46.18,1308.97
"2016",9,7517.5,1.322,2383040.5,48.24,45.37,47.71,1315.75
"2017",1,3401.7,1.496,2417807.6,52.81,53,54.68,1210.65
"2017",10,6890,1.654,2504594.2,54.38,58.79,60.94,1271.08
"2017",11,7474.3,1.787,2521786.3,57.4,60.86,62.78,1274.94
"2017",12,4486.5,1.833,2527641.3,60.42,63.77,66.82,1303.05
"2017",2,7438.6,1.465,2420285.6,54.01,54.15,55.56,1248.33
"2017",3,5140.3,1.485,2436994.7,50.6,51.02,52.71,1249.35
"2017",4,3184,1.467,2450220.9,49.33,50.19,50.88,1268.29
"2017",5,4262.1,1.464,2454386.7,48.32,49.48,50.08,1268.94
"2017",6,7008.9,1.461,2470861.1,46.04,46.6,48.23,1241.55
"2017",7,7467.4,1.464,2472110.4,50.17,51.09,52.17,1269.43
"2017",8,6139.4,1.471,2485629.9,47.23,49.67,52.41,1321.4
"2017",9,12337.7,1.481,2492388.2,51.67,55.82,56.53,1280.15
"2018",1,2556.9,1.839,2551196,64.73,65.75,68.83,1345.15
"2018",10,9473.6,1.853,2674506.5,65.31,74.9,73.86,1214.76
"2018",11,5130.6,1.844,2692974.8,50.93,58.57,58.44,1222.5
"2018",12,4914.4,1.776,2699882.3,45.41,52.35,53.17,1282.45
"2018",2,3226.7,1.851,2570764.6,61.64,63.29,64.46,1318.38
"2018",3,5210.4,1.875,2578361.8,64.94,66.09,69.13,1325
"2018",4,1490.4,1.873,2590840.7,68.57,70.73,74.87,1315.35
"2018",5,8792.3,1.887,2600274.3,67.04,74.28,77.13,1298.52
"2018",6,7980.1,1.851,2622268.3,74.15,75.56,78.6,1253.16
"2018",7,8874.4,1.842,2637421.8,68.76,72.85,73.07,1224.09
"2018",8,8581.2,1.83,2651503.4,69.8,75.16,77.15,1201.4
"2018",9,11235.5,1.79,2652829.5,73.25,79.99,82.95,1192.5
"2019",1,2894.7,1.733,2716722,53.79,61.37,60.91,1321.2
"2019",10,8035.8,1.298,2874176.1,54.18,59.3,59.55,1512.93
"2019",11,5876.6,1.386,2901465.4,55.17,62.73,61.34,1463.94
"2019",12,4636.9,1.35,2912434.1,61.06,65.38,66.42,1517.27
"2019",2,3308.2,1.76,2730481.9,57.22,65.64,65.79,1313.31
"2019",3,4347,1.769,2752723.9,60.14,67.61,67.51,1292.3
"2019",4,-527.4,1.751,2763058,63.91,72.13,71.85,1283.55
"2019",5,4983.2,1.711,2771633,53.5,63.22,62.93,1305.45
"2019",6,6166.1,1.56,2799248,58.47,64.79,64.43,1409.45
"2019",7,6957.2,1.478,2811543.7,58.58,63.58,64.13,1413.9
"2019",8,4983.5,1.186,2832566.1,55.1,59.62,59.2,1520.3
"2019",9,8014.3,1.228,2853272,54.07,59.88,59.85,1472.38
"2020",1,583.7,1.316,2929009.2,51.56,57.58,56.33,1586.71
