"기간","쌀","돼지고기","쇠고기.국산.","우유","라면","스낵과자","달걀","닭고기","두부","마른멸치","고등어","파","참기름","맛김","콩나물","탄산음료","밀가루","전기료","도시가스","휘발유"
1999.11,86.833,44.685,41.146,44.334,57.769,40.85,41.294,52.193,59.597,36.172,53.499,46.835,66.205,45.821,70.155,49.959,45.237,92.622,46.246,75.611
1999.12,87.017,45.693,42.434,44.334,57.769,40.85,38.865,57.08,59.597,36.787,56.948,51.146,66.205,45.821,70.155,48.042,45.237,92.622,46.246,75.04
2000.01,87.043,46.274,43.305,43.847,56.965,40.865,37.277,64.548,59.597,38.05,50.119,47.987,65.363,45.378,70.169,45.762,45.242,92.611,46.223,74.01
2000.02,86.694,46.274,44.206,43.847,57.882,40.865,36.86,61.808,59.597,38.05,49.778,51.095,63.672,45.289,70.169,45.58,45.063,92.611,48.718,74.01
2000.03,86.605,45.831,43.854,43.847,57.882,40.865,35.038,62.493,59.597,38.959,47.961,52.202,63.672,45.289,70.169,45.535,45.063,92.611,48.718,74.01
2000.04,86.255,43.487,41.424,43.847,56.564,40.618,33.898,61.808,59.597,38.528,47.961,43.246,62.294,45.289,70.169,45.124,44.974,92.611,48.209,72.568
2000.05,87.043,43.62,42.965,43.847,57.424,40.618,34.734,63.613,59.597,39.438,53.927,34.186,63.359,44.4,70.169,45.397,44.974,92.611,48.209,72.568
2000.06,87.306,44.504,43.552,44.33,57.424,40.618,33.139,59.693,59.597,40.73,56.483,51.305,63.046,44.4,70.169,45.352,44.974,92.611,51.823,76.136
2000.07,87.744,44.504,43.49,43.847,57.424,40.618,33.709,73.323,59.597,42.069,57.052,53.203,60.979,44.4,66.347,45.671,44.974,92.611,51.823,76.136
2000.08,88.095,44.504,43.743,43.847,57.424,40.618,37.087,64.61,59.597,53.701,54.325,57.469,61.293,44.4,66.347,45.443,44.214,92.611,51.823,77.199
2000.09,88.095,44.504,44.095,43.847,57.424,40.618,44.755,64.734,59.597,60.927,61.542,91.497,62.42,43.956,66.347,45.853,44.214,92.611,51.823,79.097
2000.1,88.357,42.381,44.348,43.847,57.137,40.618,44.338,59.07,59.597,61.549,64.894,55.994,61.106,43.511,66.347,45.397,44.08,92.611,52.535,79.097
2000.11,88.882,42.779,44.976,43.847,57.137,40.618,41.946,56.891,59.597,61.885,70.178,46.669,61.731,43.511,66.347,46.081,44.125,92.611,55.488,77.199
2000.12,88.795,42.293,45.54,43.847,57.137,49.859,42.706,54.277,59.597,60.401,67.564,47.303,62.42,43.511,66.347,45.808,44.125,97.446,55.488,78.868
2001.01,88.62,42.514,45.766,43.847,57.137,49.984,45.514,65.232,59.597,59.683,75.179,50.726,61.606,43.511,66.347,46.856,44.393,97.446,59.713,78.337
2001.02,88.882,42.514,44.939,43.847,57.137,49.859,44.717,69.278,59.597,60.161,85.521,39.137,61.606,43.511,66.347,48.406,44.661,97.446,59.713,78.337
2001.03,88.795,42.514,43.95,43.847,57.538,49.859,46.539,80.544,59.597,60.449,111.262,42.193,62.733,43.956,66.347,49.363,44.974,97.446,59.713,78.337
2001.04,88.269,44.283,44.851,43.847,56.679,49.859,47.83,81.167,59.597,60.64,125.071,35.345,61.293,43.956,66.347,48.224,45.644,97.446,59.051,79.248
2001.05,88.882,48.22,44.702,43.847,57.538,49.859,47.033,67.1,59.597,61.454,111.319,44.563,60.667,43.956,66.347,49.454,47.877,97.167,61.494,79.248
2001.06,88.531,50.521,45.563,44.374,60.747,49.859,43.882,62.867,59.597,62.171,92.113,59.787,59.666,44.622,66.347,49.363,48.278,97.167,61.494,80.007
2001.07,88.357,50.964,46.9,44.857,61.206,49.859,41.187,71.954,59.597,60.783,86.204,51.939,60.166,44.622,66.347,47.54,48.323,97.167,61.494,80.007
