"월간","경상수지"
"2014.07",6198.8
"2014.08",6793.9
"2014.09",7418.7
"2014.10",8604.5
"2014.11",10582.7
"2014.12",6805.4
"2015.01",7076
"2015.02",6136.4
"2015.03",9761.5
"2015.04",7221.6
"2015.05",7958.8
"2015.06",11546.2
"2015.07",9367.2
"2015.08",8119.4
"2015.09",10600.3
"2015.10",9561
"2015.11",9727.7
"2015.12",8042.5
"2016.01",7317.4
"2016.02",7927.5
"2016.03",11122.8
"2016.04",4184.3
"2016.05",10491
"2016.06",12409.7
"2016.07",8831.8
"2016.08",5410.1
"2016.09",7517.5
"2016.10",7476.8
"2016.11",7873.3
"2016.12",7361.5
"2017.01",3401.7
"2017.02",7438.6
"2017.03",5140.3
"2017.04",3184
"2017.05",4262.1
"2017.06",7008.9
"2017.07",7467.4
"2017.08",6139.4
"2017.09",12337.7
"2017.10",6890
"2017.11",7474.3
"2017.12",4486.5
"2018.01",2556.9
"2018.02",3226.7
"2018.03",5210.4
"2018.04",1490.4
"2018.05",8792.3
"2018.06",7980.1
"2018.07",8874.4
"2018.08",8581.2
"2018.09",11235.5
"2018.10",9473.6
"2018.11",5130.6
"2018.12",4914.4
"2019.01",2894.7
"2019.02",3308.2
"2019.03",4347
"2019.04",-527.4
"2019.05",4983.2
"2019.06",6166.1
"2019.07",6957.2
"2019.08",4983.5
"2019.09",8014.3
"2019.10",8035.8
"2019.11",5876.6
"2019.12",4636.9
"2020.01",583.7
"2020.02",6407
"2020.03",5939.8
"2020.04",-3297.5
"2020.05",2241.2
"2020.06",7164.6
"2020.07",7025.4
"2020.08",6641.2
"2020.09",10335.3
"2020.10",11551.2
"2020.11",9176.7
"2020.12",11507.1
"2021.01",7060
"2021.02",7942.1
"2021.03",7816
"2021.04",1909.9
"2021.05",10761.2
"2021.06",8846.9
"2021.07",8210.7
"2021.08",7512.3
"2021.09",10067.7
