"¿ù°£","WTI","Dubai","Brent","±Ý"
"2013.06",96.56,100.2,102.16,1234.57
"2013.07",105.03,103.83,108.66,1325.25
"2013.08",107.65,112.39,116.17,1395.15
"2013.09",102.33,105.09,109.22,1328.94
"2013.10",96.38,106.92,108.89,1323.1
"2013.11",92.72,108.85,110.57,1253.49
"2013.12",98.42,107.89,110.82,1205.65
"2014.01",97.49,104.34,107.2,1244.55
"2014.02",102.59,105.27,109.3,1326.44
"2014.03",101.58,104.63,106.98,1284.01
"2014.04",99.74,104.86,108.65,1291.55
"2014.05",102.71,106.41,110.66,1249.73
"2014.06",105.37,109,112.09,1327.32
"2014.07",98.17,103.81,103.9,1282.55
"2014.08",95.96,101.05,101.26,1287.81
"2014.09",91.16,95.51,93.17,1208.16
"2014.10",80.54,83.24,84.8,1173.48
"2014.11",66.15,67.92,68.99,1167.41
"2014.12",53.27,53.85,55.76,1184.86
"2015.01",48.24,45.69,50.77,1283.78
"2015.02",49.76,58.07,61.81,1213.22
"2015.03",47.6,52.6,53.34,1183.68
"2015.04",59.63,63.38,64.86,1184.37
"2015.05",60.3,61.37,63.89,1190.55
"2015.06",59.47,60.91,61.36,1172.42
"2015.07",47.12,53.13,50.57,1095.82
"2015.08",49.2,48.22,51.28,1134.81
"2015.09",45.09,44.04,47.13,1115.07
"2015.10",46.59,45.61,47.62,1142.16
"2015.11",41.65,39.67,42.82,1064.77
"2015.12",37.04,32.13,35.75,1061.42
"2016.01",33.62,29.5,33.2,1118.17
"2016.02",33.75,29.81,35.94,1238.74
"2016.03",38.34,34.86,38.72,1232.7
"2016.04",45.92,44.17,46.36,1292.99
"2016.05",49.1,46.16,48.31,1215.33
"2016.06",48.33,46.83,48.42,1322.2
"2016.07",41.6,38.68,41.01,1351
"2016.08",44.7,44.83,46.18,1308.97
"2016.09",48.24,45.37,47.71,1315.75
"2016.10",46.86,45.83,46.69,1277.3
"2016.11",49.44,45.67,49.86,1173.25
"2016.12",53.72,53.99,55.41,1152.27
"2017.01",52.81,53,54.68,1210.65
"2017.02",54.01,54.15,55.56,1248.33
"2017.03",50.6,51.02,52.71,1249.35
"2017.04",49.33,50.19,50.88,1268.29
"2017.05",48.32,49.48,50.08,1268.94
"2017.06",46.04,46.6,48.23,1241.55
"2017.07",50.17,51.09,52.17,1269.43
"2017.08",47.23,49.67,52.41,1321.4
"2017.09",51.67,55.82,56.53,1280.15
"2017.10",54.38,58.79,60.94,1271.08
"2017.11",57.4,60.86,62.78,1274.94
"2017.12",60.42,63.77,66.82,1303.05
"2018.01",64.73,65.75,68.83,1345.15
"2018.02",61.64,63.29,64.46,1318.38
